list_name,review_count,title,url,ASIN
best_seller,"1,655",Born a Crime: Stories from a South...,/gp/product-reviews/0399588175/ref=s9_acsd_al_bw_c_x_8_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0399588175
best_seller,21,You Are the Universe: Discovering...,/gp/product-reviews/0307889165/ref=s9_acsd_al_bw_c_x_9_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0307889165
best_seller,409,Thank You for Being Late: An...,/gp/product-reviews/0374273537/ref=s9_acsd_al_bw_c_x_10_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0374273537
best_seller,"5,989",When Breath Becomes Air,/gp/product-reviews/081298840X/ref=s9_acsd_al_bw_c_x_11_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,081298840X
best_seller,115,Tears We Cannot Stop: A Sermon to...,/gp/product-reviews/1250135990/ref=s9_acsd_al_bw_c_x_12_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,1250135990
best_seller,"1,400",Hamilton: The Revolution,/gp/product-reviews/1455539740/ref=s9_acsd_al_bw_c_x_13_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,1455539740
best_seller,686,The Undoing Project: A Friendship...,/gp/product-reviews/0393254593/ref=s9_acsd_al_bw_c_x_14_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0393254593
best_seller,686,Hidden Figures: The American Dream...,/gp/product-reviews/0062363603/ref=s9_acsd_al_bw_c_x_1_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_i=549028,0062363603
best_seller,667,The Zookeeper's Wife: A War Story,/gp/product-reviews/039333306X/ref=s9_acsd_al_bw_c_x_2_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_i=549028,039333306X
best_seller,"3,090",Alexander Hamilton,/gp/product-reviews/0143034758/ref=s9_acsd_al_bw_c_x_3_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_i=549028,0143034758
best_seller,12,I Am Not Your Negro: A Companion...,/gp/product-reviews/0525434690/ref=s9_acsd_al_bw_c_x_4_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_i=549028,0525434690
best_seller,550,A Long Way Home: A Memoir,/gp/product-reviews/0425276198/ref=s9_acsd_al_bw_c_x_5_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_i=549028,0425276198
best_seller,"2,497","Thinking, Fast and Slow",/gp/product-reviews/0374533555/ref=s9_acsd_al_bw_c_x_6_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-5&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_p=11206241-6e00-4e99-a0c6-c7d1fb6055da&pf_rd_i=549028,0374533555
